fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.7;0.76;0.02;1.8;0.078;6;12;0.996;3.55;0.63;9.95;3
6.9;0.48;0.2;1.9;0.082;9;23;0.99585;3.39;0.43;9.05;4
7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;8
7;0.56;0.17;1.7;0.065;15;24;0.99514;3.44;0.68;10.55;7
6.7;0.32;0.44;2.4;0.061;24;34;0.99484;3.29;0.8;11.6;7
6.6;0.56;0.14;2.4;0.064;13;29;0.99397;3.42;0.62;11.7;7
7.4;0.25;0.29;2.2;0.054;19;49;0.99666;3.4;0.76;10.9;7
8.4;0.37;0.43;2.3;0.063;12;19;0.9955;3.17;0.81;11.2;7
7.2;0.39;0.44;2.6;0.066;22;48;0.99494;3.3;0.84;11.5;6
7.5;0.31;0.41;2.4;0.065;34;60;0.99492;3.34;0.85;11.4;6
5.8;0.61;0.11;1.8;0.066;18;28;0.99483;3.55;0.66;10.9;6
7.2;0.66;0.33;2.5;0.068;34;102;0.99414;3.27;0.78;12.8;6
6.6;0.725;0.2;7.8;0.073;29;79;0.9977;3.29;0.54;9.2;5
6.3;0.55;0.15;1.8;0.077;26;35;0.99314;3.32;0.82;11.6;6
5.4;0.74;0.09;1.7;0.089;16;26;0.99402;3.67;0.56;11.6;6
6.3;0.51;0.13;2.3;0.076;29;40;0.99574;3.42;0.75;11;6
6.8;0.62;0.08;1.9;0.068;28;38;0.99651;3.42;0.82;9.5;6
6.2;0.6;0.08;2;0.09;32;44;0.9949;3.45;0.58;10.5;5
5.9;0.55;0.1;2.2;0.062;39;51;0.99512;3.52;0.76;11.2;6
6.3;0.51;0.13;2.3;0.076;29;40;0.99574;3.42;0.75;11;6
6.6;0.88;0.04;2.2;0.066;12;20;0.99636;3.53;0.56;9.9;5
6.6;0.855;0.02;2.4;0.062;15;23;0.99627;3.54;0.6;11;6
6.9;0.63;0.33;6.7;0.235;66;115;0.99787;3.22;0.56;9.5;5
7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;5
7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;5
7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;5
7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;5
7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;5
7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;5
6.7;0.67;0.02;1.9;0.061;26;42;0.99489;3.39;0.82;10.9;6
